PID	PLOTKEY	TREE_ID	TREE_SPECIES	TREE_SPECIES_LUMP	code	DIAM_CLASS_4_11	DIAM_CLASS_12_23	DIAM_CLASS_24_35	DIAM_CLASS_36_	TOTAL	height	genus	species	var_subsp	lifeform	source	table	code_match	name	num_matches
59	65B22	114	A	A	A	10	3	0	0	13	25	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
59	65B22	113	L	L	L	4	0	0	0	4	20	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
59	65B22	115	M2	M2	M2	1	0	0	0	1	30	acer	macrophyllum		t	3	TREE_TALLY	matched	Acer macrophyllum 	2
60	65B23	118	L	L	L	30	0	0	0	30	25	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
60	65B23	117	M	M	M	9	1	0	0	10	25	arbutus	menziesii		t	3	TREE_TALLY	matched	Arbutus menziesii 	1
60	65B23	116	B	B	B	7	2	0	0	9	30	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
60	65B23	120	A	A	A	6	0	0	0	6	20	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
60	65B23	119	M2	M2	M2	2	0	0	0	2	30	acer	macrophyllum		t	3	TREE_TALLY	matched	Acer macrophyllum 	2
61	65B24	121	A	A	A	4	3	0	0	7	30	quercus	agrifolia		t	3	TREE_TALLY	matched	Quercus agrifolia 	1
61	65B24	122	D	D	D	6	1	0	0	7	25	pseudotsuga	taxifolia		t	3	TREE_TALLY	matched	Pseudotsuga taxifolia 	2
61	65B24	124	B	B	B	2	1	0	0	3	35	quercus	kelloggii		t	3	TREE_TALLY	matched	Quercus kelloggii 	1
61	65B24	125	L	L	L	3	0	0	0	3	20	pinus	contorta	murrayana	t	3	TREE_TALLY	matched	Pinus contorta murrayana	2
61	65B24	123	H	H	H	2	0	0	0	2	20	tsuga	heterophylla		t	3	TREE_TALLY	matched	Tsuga heterophylla 	2
63	65B32	127	V	V	V	4	3	0	0	7	40	quercus	lobata		t	3	TREE_TALLY	matched	Quercus lobata 	1
